url,text
https://indianexpress.com/article/explained/explained-can-business-interruption-insurance-cover-covid-19-claims-6363831/,"Business Interruption Insurance can be issued as a separate stand-alone policy, but in India, it is incorporated in Fire Policy or Machinery and Boiler Explosion Policy. Business Interruption Insurance can be issued as a separate stand-alone policy, but in India, it is incorporated in Fire Policy or Machinery and Boiler Explosion Policy.

Written by Manish Jha

COVID-19 has already proven to be an unprecedented disaster, with a much broader impact than any other disaster in the history of mankind, be it the loss of human life or economic loss. In India, due to COVID-19 outbreak, the central and state governments have imposed restrictions on businesses across industries. Due to nationwide three-week lockdown and social distancing, businesses are facing various operational constraints, resulting in severe disruptions and temporary closings. The result is huge business losses for various businesses.

Companies, in India, having Business Interruption Insurance will rely upon them in funding the recovery of their loss due to COVID-19.

This article explains what this insurance typically covers, and whether losses caused by COVID-19 are or will be covered by BI?

What is Business Interruption Insurance?

Whenever any losses incurred due to an insured peril to an insured business establishment or property or machinery, the fire and machinery policies compensate for the loss of property. However, when a property is damaged, the affected industry may not be able to carry out business. But the industry or the business may still have to pay salaries, rent, and incur other operational charges. Further, the profits that one would have otherwise made are also lost. All these losses are covered by Business Interruption Insurance.

What is covered under a Business Interruption Insurance Policy?

Business Interruption Insurance can be issued as a separate stand-alone policy, but in India, it is incorporated in Fire Policy or Machinery and Boiler Explosion Policy. It offers protection to the net profit, standing charges, and an increase in the cost of working to maintain normal output or turnover.

Whether losses caused by COVID-19 are or will be covered by insurance?

Recently, it has come into media that insurers and top companies are likely in for a tussle regarding claims arising out of COVID-19 outbreak; and quite a few companies are eyeing claims under the “loss of profit” clause in their insurance contracts.

For the business interruption cover to trigger, according to industry pundits, it is necessary for the property insured to suffer physical damage due to a covered peril such as fire, flood or earthquake, and hence, such policies would not cover loss caused due to COVID-19.

In India, Business Interruption Insurance is not sold standalone and is dependent upon property coverage. BI cover in India can be taken as a separate policy only in conjunction with fire insurance or as part of a package in products such as industrial all-risk insurance which covers both property damage and business interruption. Hence, if a claim is triggered on property damage, only then is the Business Interruption Insurance cover triggered.

The Business Interruption Insurance Policy—being a consequential policy—always has a condition that insurer must have first accepted liability under the fire policy before any claim is settled under this policy. Therefore, unless there is an underlying fire or machinery policy, an insured will not be able to enforce a claim.

Another reason, which may be given by the insurer to reject any COVID-19 claim is that insured has not made any contributions by way of premium for covering such a loss.

Though the courts in the US have consistently held that if a condition makes a property uninhabitable or deprives the insured of use of the property, that condition will constitute physical loss or damage, the applicability of those decisions in India may be seriously challenged, firstly, because of the specific wordings of the insurance contracts in India, and secondly, the US decisions would only be applicable in cases of presence of COVID-19 at the insured property. However, in India, the business establishments are closed not due to the presence of COVID-19 at their premises but due to the lockdown enforced by the government authorities. In these circumstances, it is highly improbable that the Indian companies having Business Interruption Insurance will be able to take benefit from the US case laws.

The Supreme Court of India has while interpreting the insurance contracts held that the terms of the policy will govern the contract between the parties (Shree Ambica Medical Stores and Ors. vs. The Surat People’s Co-operative Bank Limited and Ors. (28.01.2020 – SC). In interpreting insurance contracts, the constitution bench of the Supreme Court (General Assurance Society Ltd. v. Chandumull Jain: AIR 1966 SC 1644) has held that the court must interpret the words in which the contract is expressed by the parties because it is not for the court to make a new contract, however reasonable if the parties have not made it themselves.

Therefore, the court through its interpretative process cannot rewrite or create a new contract between the parties, and the court must simply apply the terms and conditions of the agreement as agreed between the parties.

Therefore, the financial loss will be paid by the insurers only if the terms and conditions of the relevant policy provide for that and not otherwise. Given the long line of decisions of the apex court of India that court has to simply apply the terms and conditions of the agreement as agreed between the parties, it will be difficult for the companies having Business Interruption Insurance cover to argue that the loss on account of business interruption due to the COVID-19 should be paid by the insurers.

But despite the aforesaid challenges, there is every likelihood that some of the insureds will approach the courts for claiming the loss suffered on account of business interruption due to COVID-19. It will be quite interesting to see how the courts deal with such claims and interpret the insurance contracts in a situation like COVID-19 which is peculiar; and whether the courts deviate from their strict interpretation of insurance contract standard to help insureds to get their claims by expanding the interpretation of “physical damage” to include COVID-19, on the ground of legitimate public purpose, even though the relevant policy does not have the express extension to COVID-19 like situation.

Manish Jha is Partner, J. Sagar Associates. Views are personal

📣 The Indian Express is now on Telegram. Click here to join our channel (@indianexpress) and stay updated with the latest headlines

For all the latest Explained News, download Indian Express App.

© IE Online Media Services Pvt Ltd"
https://indianexpress.com/photos/india-news/coronavirus-maharashta-mumbai-security-food-migrant-protest-bandra-covid-19-6363776/,"5 / 8

BMC workers spray sanitiser on a police van in Bandra where security has been tightened after a migrant protest took place in the area on Tuesday. BMC workers have been spraying sanitisers across various public places in Maharashtra as the state recorded the number of infections at 2,801 cases. (Express photo by Nirmal Harindran)"
https://malayalam.indianexpress.com/news/coronavirus-gujarat-hospital-covid-wards-363573/,
https://malayalam.indianexpress.com/news/coronavirus-woman-tests-positive-hangs-self-at-mumbai-hospital-363575/,
https://tamil.indianexpress.com/tamilnadu/minister-nilofer-kafeel-meet-person-affected-covid-19-positive-184367/,
https://bengali.indianexpress.com/explained/covid-19-serious-patients-visitors-entrance-in-icc-212500/,The Indian Express Pvt. Ltd. All Rights Reserved.
https://bengali.indianexpress.com/west-bengal/coronavirus-latest-update-west-bengal-15-april-2020-live-updatesmamata-banerjee-kolkata-covid-19212476/,The Indian Express Pvt. Ltd. All Rights Reserved.
https://www.indiatimes.com/news/india/this-arunachal-man-is-spreading-covid-19-awareness-and-people-are-now-helping-the-poor-there-510939.html,"This Arunachal Man Is Spreading COVID-19 Awareness And People Are Now Helping The Poor There

This Arunachal Man Is Spreading COVID-19 Awareness And People Are Now Helping The Poor There

As India continues to battle the coronavirus pandemic with lockdown in place, many people are being the good samaritans and helping people, one way or the other, in these times of desolation.

Twitter

In Arunachal Pradesh, a documentary filmmaker and journalist, Kamtey Ringu, is doing his bit - not only is he providing daily updates to people and raising awareness on COVID-19, but he is also helping raise the concerns of slum dwellers and poor in Itanagar.



Occasionally, Ringu is also providing a helping hand in distribution of food.

His videos on Facebook are being viewed by thousands of social media users and it has also led to people chipping in to help those in need of food or any financial assistance. He is doing his job as a journalist and also playing his part as a citizen.

Ringu runs a small media firm working under the name of Himalayan Watchdog. He and his team have being reporting from various parts of the state and lending voice to the voiceless and helping draw attention to their needs.

For his selfless efforts, people have been praising him on Twitter.

The video with Habung Ape & Tadu Lampung in harek maal colony inspired me. Have donated rations to many needy since. Beautiful young souls. — Babin (@tadarbabin) April 15, 2020

COVID -19 414 SHARES 730 SHARES 10.4 K SHARES 2.3 K SHARES 436 SHARES 2.2 K SHARES 2.3 K SHARES 724 SHARES 3.9 K SHARES 627 SHARES 17.1 K SHARES 442 SHARES 105.4 K SHARES

Saw you with Kani mam in his latest video 😊

Glad to see him bringing the required attention on the section of people. — Ceemona Taku (@CeemonaT) April 14, 2020

People like Kamtey Ringu are what we need in crisis like today - not only is he raising awareness, but he is doing much more to ensure the poor are taken care of by urging people to donate and also helping in providing relief material during testing times due to coronavirus.

A real life hero if there ever was one."
https://www.indiatimes.com/news/india/what-is-pool-testing-and-how-this-could-help-india-increase-the-number-of-covid-19-tests-510934.html,"The number of COVID-19 cases has crossed 11,000 in India and is rapidly rising over the past few weeks. While it is a big number, the number of COVID-19 cases in India is much lesser than most of the countries around the world, which has better medical infrastructure.

Though it is a good thing that the number of people who are testing positive for the deadly infection is very low there is an argument that it is because we aren't testing enough. Since the outbreak began India has been only conducting COVID-19 tests on those who had returned from abroad and those who had come in contact with patients tested positive.

AFP

This has since changed and the scope of those who can be tested for COVID-19 has been widened. As of April 14, a total of 2,44,893 samples from 2,29,426 individuals were tested in India. The US and Italy, countries that have among the highest reported cases, have conducted 13 times and about five times as many tests as India has. India’s tests come to 161 tests per million population fewer than the 8,625 tests per million In the US and 17,333 in Italy.



Now with the number of cases spiking and the fear of community spread in some areas the Indian Council of Medical Research (ICMR) on Tuesday laid down the roadmap for pool testing that may be conducted in less-affected areas of the country. The process of pool testing involves putting five swab samples together and testing them using a single reverse transcription polymerase chain reaction (RT-PCR) test.

AFP

Sounding a note of urgency, the apex health research body said the number of COVID-19 cases in India is rising exponentially and in view of this, it is critical to increasing the numbers of tests conducted by laboratories. It said sample pooling for real-time RT-PCR screening for coronavirus is only recommended in areas with a low prevalence of COVID-19.

COVID -19 2.3 K SHARES 442 SHARES 2.3 K SHARES 730 SHARES 627 SHARES 17.1 K SHARES 436 SHARES 2.2 K SHARES 10.4 K SHARES 414 SHARES 105.4 K SHARES 3.9 K SHARES 724 SHARES

""Positivity rate in cases is still low. Hence, it may help to use the pooled samples for screening. A pooled testing algorithm involves the PCR screening of a specimen pool comprising multiple individual patient specimens, followed by individual testing only if a pool screens positive,” the advisory said.

AFP

""As all individual samples in a negative pool are regarded as negative, it results in substantial cost savings when a large proportion of pools tests negative,"" it said while strongly discouraging pooling of more than five samples, except in research mode. The objective is to increase the capacity of the laboratories to screen increased numbers of samples using molecular testing for COVID-19 for the purpose of surveillance, the ICMR said.

It said a feasibility study was conducted at DHR/ICMR Virus Research and Diagnostic Laboratory (VRDL) at King George's Medical University (KGMU) in Lucknow, where it has been demonstrated that ""performing real-time PCR for COVID-19 by pooling five samples of TS/NS (200 ul/sample) is feasible when the prevalence rates of infection are low"".

AFP

According to the advisory, all individual samples in a negative pool should be regarded as negative. ""Deconvoluted testing is recommended if any of the pools is positive. Pooling of more than five samples is not recommended to avoid the effect of dilution leading to false negatives,"" the advisory said. ""The sample pooling for real-time RT-PCR screening for COVID-19 is only recommended in areas with low prevalence of COVID-19 (initially using a proxy of low positivity of 5 pc for COVID-19,"" the ICMR stressed.

""Preferable number of samples to be pooled is five, though more than two samples can be pooled, but considering higher possibility of missing positive samples with low viral load, it strongly discouraged to pool more than five samples, except in research mode,"" the advisory said.

AFP

With the rise in coronavirus infections in India, the ICMR has taken into account the need to expeditiously expand COVID-19 testing facilities in all parts of the country and has initiated a proactive search of potential laboratories that could be enabled for coronavirus testing, a senior official said. The ICMR has already invited applications from all government and private medical colleges for establishing COVID-19 testing facilities."
https://www.indiatimes.com/auto/current/as-china-car-sales-boom-after-covid-19-a-record-number-of-people-are-opting-for-electric-cars-510938.html,"As China reopens its automobile industry for the country’s market, prospective sales are looking positive with a new-found appeal for personal vehicles after the Coronavirus outbreak. Among these, many first time vehicle buyers are reportedly preferring to go green with an electric vehicle.

As per a new survey conducted by Ipsos, a marketing research firm, 41% of those new buyers have a preference for EVs. March sales across the country have also reflected the growing trend.

The China Passenger Car Association reported a dramatic rise in sales in the month of March as sales shot up from being 96% deficit to 40% deficit year-on-year. Out of these vehicles sold, about 47,000 were electric cars. These cars included all brand makers’ seals, from Tesla to BYD, Nio and others, as all of them enjoyed record breaking sales in the month.

Other OEMs are still in the process of restarting their operations. To debut the Volkswagen ID family in China, SAIC Volkswagen plant in Changsha resumed operations last week and will produce VW ID electric cars.

(Representative Image: Reuters)

Audi e-Tron will also be locally produced in the country later this year. Tesla is targeting a local production of long range Model 3. M-Byte, Byton‘s first mass production model, is also expected to be launched this year.



COVID -19 3.9 K SHARES 627 SHARES 730 SHARES 2.2 K SHARES 442 SHARES 724 SHARES 17.1 K SHARES 2.3 K SHARES 414 SHARES 436 SHARES 105.4 K SHARES 2.3 K SHARES 10.4 K SHARES

In order to help with the sales of such vehicles, the Chinese government is also taking several measures. It is extending EV subsidies, loosening restrictions as well as deploying a program similar to cash-for-clunkers in some areas.

As the Coronavirus-induced lockdown ends in other parts of the world, such a boom in the automobile industry is expected as people will now tend to prefer travelling by their own vehicle soon. And with the electric vehicles being the need of the hour to save planet Earth, it won’t be difficult for the car owners to buy.

Source"
